IsLa[a],IsLb[A],IsLc[A]
-0.2041667,2.029167,-2.329167
0.7083333,1.316667,-2.429167
1.575,0.7791667,-2.258333
2.275,0.04166667,-1.933333
2.3,-0.8541667,-1.241667
2.233333,-1.775,-0.7
1.7875,-2.308333,0.2083333
1.108333,-2.258333,1.041667
0.5708333,-2.154167,1.95
-0.2875,-1.558333,2.3
-1.108333,-1.0,2.304167
-1.991667,-0.4375,2.220833
-2.295833,0.5333333,1.525
-2.3125,1.395833,0.9625
-2.15,2.233333,0.1416667
-1.320833,2.35,-0.8708333
-0.7125,2.220833,-1.725
0.1291667,1.820833,-2.3375
0.9791667,1.1375,-2.366667
1.841667,0.55,-2.245833
2.308333,-0.4125,-1.675
2.291667,-1.1875,-1.05
2.208333,-2.075,-0.3416667
1.475,-2.345833,0.6791667
0.8916667,-2.2375,1.404167
0.175,-2.029167,2.220833
-0.675,-1.325,2.379167
-1.5125,-0.7958333,2.304167
-2.270833,0.01666667,2.0375
-2.370833,0.8708333,1.304167
-2.333333,1.854167,0.7041667
-1.85,2.4125,-0.3041667
-1.108333,2.358333,-1.133333
-0.4875,2.216667,-2.1375
0.4666667,1.545833,-2.429167
1.245833,0.975,-2.345833
2.145833,0.3666667,-2.141667
2.325,-0.6166667,-1.433333
2.241667,-1.4875,-0.9041667
2.0625,-2.270833,-0.1583333
1.291667,-2.283333,0.8375
0.7541667,-2.166667,1.7
0.04166667,-1.804167,2.2625
-0.8291667,-1.166667,2.279167
-1.75,-0.6583333,2.245833
-2.220833,0.1791667,1.783333
-2.275,1.075,1.154167
-2.283333,2.029167,0.5291667
-1.579167,2.341667,-0.5708333
-0.9333333,2.233333,-1.404167
-0.2791667,2.0625,-2.241667
0.7,1.35,-2.370833
1.541667,0.7916667,-2.258333
2.225,0.004166667,-1.958333
2.2875,-0.9333333,-1.245833
2.241667,-1.825,-0.6458333
1.783333,-2.35,0.3541667
1.058333,-2.2625,1.15
0.4666667,-2.133333,2.033333
-0.4291667,-1.529167,2.3625
-1.191667,-0.9625,2.283333
-2.091667,-0.3208333,2.191667
-2.3625,0.6208333,1.491667
-2.308333,1.475,0.9291667
-2.129167,2.341667,0.09583333
-1.316667,2.429167,-0.8458333
-0.7083333,2.245833,-1.816667
0.1041667,1.816667,-2.433333
0.9125,1.154167,-2.433333
1.916667,0.5791667,-2.25
2.370833,-0.3166667,-1.675
2.3,-1.1375,-1.075
2.208333,-2.120833,-0.4166667
1.483333,-2.3625,0.5833333
0.8958333,-2.2,1.391667
0.3041667,-1.9875,2.216667
-0.5791667,-1.329167,2.316667
-1.4375,-0.8083333,2.241667
-2.1625,-0.1708333,1.995833
-2.254167,0.7666667,1.3125
-2.295833,1.733333,0.7625
-1.870833,2.304167,-0.1583333
-1.129167,2.304167,-1.066667
-0.55,2.195833,-2.016667
0.3875,1.575,-2.3625
1.2,0.9791667,-2.329167
2.079167,0.35,-2.175
2.3,-0.65,-1.441667
2.270833,-1.483333,-0.875
2.079167,-2.270833,-0.02083333
1.2375,-2.325,0.9291667
0.6625,-2.2,1.7375
-0.1458333,-1.770833,2.316667
-0.925,-1.104167,2.345833
-1.804167,-0.5291667,2.245833
-2.3125,0.3833333,1.725
-2.329167,1.116667,1.083333
-2.291667,2.1,0.3875
-1.533333,2.429167,-0.6166667
-0.8916667,2.3125,-1.408333
-0.1916667,2.075,-2.320833
0.6791667,1.333333,-2.470833
1.541667,0.7666667,-2.333333
2.325,0.004166667,-1.970833
2.3625,-0.85,-1.2375
2.295833,-1.816667,-0.6625
1.7625,-2.383333,0.3125
1.066667,-2.3,1.091667
0.475,-2.15,2.041667
-0.3958333,-1.504167,2.325
-1.1375,-0.95,2.258333
-2.0,-0.3833333,2.166667
-2.229167,0.55,1.470833
-2.245833,1.375,0.9333333
-2.141667,2.183333,0.1916667
-1.329167,2.291667,-0.8291667
-0.725,2.220833,-1.704167
0.04583333,1.866667,-2.2875
0.925,1.175,-2.358333
1.829167,0.5958333,-2.275
2.2875,-0.35,-1.754167
2.3,-1.191667,-1.070833
2.241667,-2.079167,-0.3708333
1.4875,-2.333333,0.7291667
0.8625,-2.233333,1.479167
0.1208333,-2.029167,2.225
-0.7791667,-1.3,2.341667
-1.529167,-0.7166667,2.275
-2.2,0.09583333,1.995833
-2.3,0.9291667,1.254167
-2.3,1.795833,0.6416667
-1.85,2.3375,-0.3666667
-1.079167,2.3375,-1.141667
-0.45,2.2125,-2.0875
0.4833333,1.566667,-2.425
1.245833,0.975,-2.375
2.170833,0.3041667,-2.191667
2.366667,-0.6666667,-1.4625
2.304167,-1.529167,-0.8833333
2.0875,-2.345833,-0.03333333
1.291667,-2.35,0.8958333
0.6833333,-2.179167,1.820833
-0.1208333,-1.770833,2.341667
-0.925,-1.133333,2.3125
-1.858333,-0.575,2.208333
-2.245833,0.3041667,1.691667
-2.2,1.116667,1.1125
-2.216667,2.045833,0.4875
-1.5375,2.270833,-0.5708333
-0.9333333,2.195833,-1.4
-0.3,2.058333,-2.216667
0.65,1.375,-2.325
1.533333,0.825,-2.266667
2.2375,0.09166667,-1.995833
2.254167,-0.9166667,-1.270833
2.254167,-1.854167,-0.6916667
1.8,-2.341667,0.3333333
1.058333,-2.245833,1.225
0.4625,-2.145833,2.091667
-0.5125,-1.495833,2.345833
-1.291667,-0.9333333,2.233333
-2.095833,-0.2541667,2.133333
-2.291667,0.7166667,1.425
-2.2375,1.504167,0.8875
-2.070833,2.291667,0.0
-1.254167,2.345833,-0.9041667
-0.6791667,2.204167,-1.808333
0.1416667,1.8,-2.420833
0.95,1.1375,-2.429167
1.920833,0.5708333,-2.279167
2.429167,-0.3708333,-1.691667
2.341667,-1.183333,-1.066667
2.245833,-2.208333,-0.3916667
1.483333,-2.441667,0.6666667
0.8791667,-2.241667,1.4875
0.1958333,-2.0,2.333333
-0.7041667,-1.295833,2.383333
-1.579167,-0.7583333,2.220833
-2.270833,-0.01666667,1.920833
-2.258333,0.85,1.2625
