IsLa[a],IsLb[A],IsLc[A]
-0.6166667,1.733333,-1.55
0.004166667,1.3,-1.754167
0.6375,0.9916667,-1.804167
1.479167,0.5333333,-1.766667
1.725,-0.1208333,-1.35
1.85,-0.9541667,-0.9333333
1.691667,-1.6875,-0.2291667
1.208333,-1.845833,0.3833333
0.8041667,-1.854167,1.266667
0.1916667,-1.483333,1.775
-0.3416667,-1.125,1.866667
-1.254167,-0.6875,1.891667
-1.716667,-0.008333333,1.470833
-1.816667,0.6125,1.0875
-1.833333,1.55,0.5
-1.308333,1.766667,-0.2083333
-0.9083333,1.754167,-0.9416667
-0.475,1.591667,-1.654167
0.0625,1.220833,-1.770833
0.9166667,0.8833333,-1.808333
1.554167,0.375,-1.591667
1.733333,-0.2416667,-1.245833
1.8875,-1.208333,-0.8166667
1.483333,-1.6875,-0.05833333
1.1,-1.820833,0.5666667
0.6875,-1.833333,1.495833
0.06666667,-1.358333,1.8
-0.5958333,-1.0,1.854167
-1.458333,-0.4916667,1.804167
-1.725,0.1458333,1.366667
-1.833333,0.9583333,0.9041667
-1.645833,1.6875,0.1666667
-1.175,1.804167,-0.4
-0.7625,1.770833,-1.295833
-0.175,1.420833,-1.745833
0.3208333,1.116667,-1.8
1.275,0.7166667,-1.808333
1.658333,0.075,-1.4375
1.766667,-0.625,-1.095833
1.85,-1.566667,-0.5833333
1.320833,-1.770833,0.2125
0.9541667,-1.820833,1.004167
0.4708333,-1.683333,1.7
-0.1583333,-1.2625,1.841667
-0.9916667,-0.8541667,1.891667
-1.6125,-0.2166667,1.654167
-1.783333,0.375,1.245833
-1.895833,1.2875,0.7333333
-1.454167,1.733333,-0.09583333
-1.045833,1.791667,-0.625
-0.6166667,1.766667,-1.525
-0.05833333,1.3,-1.75
0.5416667,0.9833333,-1.804167
1.454167,0.5833333,-1.725
1.691667,0.008333333,-1.333333
1.804167,-0.8916667,-0.95
1.6375,-1.666667,-0.3458333
1.254167,-1.791667,0.2875
0.8583333,-1.833333,1.279167
0.2958333,-1.483333,1.745833
-0.3208333,-1.141667,1.841667
-1.270833,-0.7166667,1.875
-1.65,-0.025,1.483333
-1.758333,0.6625,1.1
-1.841667,1.533333,0.4916667
-1.3,1.75,-0.3
-0.8916667,1.7875,-0.9708333
-0.3708333,1.608333,-1.675
0.1458333,1.208333,-1.804167
0.9375,0.8458333,-1.829167
1.616667,0.2833333,-1.566667
1.7625,-0.2833333,-1.216667
1.866667,-1.3,-0.775
1.441667,-1.770833,-0.008333333
1.075,-1.816667,0.6416667
0.6791667,-1.804167,1.604167
0.05833333,-1.341667,1.825
-0.6708333,-0.9958333,1.854167
-1.545833,-0.525,1.804167
-1.733333,0.1625,1.379167
-1.8375,1.054167,0.9208333
-1.658333,1.695833,0.2
-1.195833,1.791667,-0.4625
-0.7583333,1.795833,-1.304167
-0.1875,1.441667,-1.716667
0.3208333,1.116667,-1.795833
1.183333,0.7166667,-1.829167
