IsLa[a],IsLb[A],IsLc[A]
-0.8541667,1.8375,-1.233333
-0.275,1.654167,-1.945833
0.3833333,1.2,-1.991667
1.304167,0.7875,-1.95
1.883333,0.1541667,-1.645833
1.933333,-0.5791667,-1.204167
1.979167,-1.579167,-0.675
1.479167,-1.9375,0.2083333
1.016667,-1.9375,0.9041667
0.4958333,-1.8875,1.779167
-0.2291667,-1.320833,1.991667
-0.9083333,-0.9083333,1.966667
-1.725,-0.3375,1.870833
-1.879167,0.35,1.341667
-1.9375,1.129167,0.8458333
-1.695833,1.841667,0.07916667
-1.1625,1.9125,-0.525
-0.7083333,1.866667,-1.445833
-0.1,1.458333,-1.929167
0.4791667,1.083333,-1.958333
1.516667,0.6666667,-1.9375
1.883333,-0.008333333,-1.458333
1.916667,-0.7875,-1.0625
1.8875,-1.8,-0.4875
1.3125,-1.945833,0.3541667
0.8708333,-1.891667,1.216667
0.3166667,-1.6875,1.925
-0.3958333,-1.195833,1.970833
-1.2875,-0.7708333,1.954167
-1.829167,-0.05416667,1.6375
-1.8875,0.6375,1.195833
-1.933333,1.541667,0.6166667
-1.4375,1.9,-0.2791667
-0.9875,1.9,-0.8875
-0.45,1.8375,-1.745833
0.2166667,1.304167,-1.983333
0.8708333,0.9125,-1.9875
1.758333,0.3583333,-1.858333
1.966667,-0.3166667,-1.316667
1.9875,-1.195833,-0.8458333
1.708333,-1.966667,-0.07916667
1.1625,-2.008333,0.5708333
0.6916667,-1.933333,1.554167
0.008333333,-1.475,2.0125
-0.6125,-1.0625,2.0
-1.579167,-0.5791667,1.95
-1.883333,0.1666667,1.445833
-1.879167,0.8833333,1.041667
-1.8625,1.758333,0.4083333
-1.2875,1.879167,-0.4041667
-0.8625,1.8625,-1.158333
-0.3208333,1.679167,-1.820833
0.3083333,1.2125,-1.945833
1.1375,0.8041667,-1.9875
1.783333,0.1916667,-1.679167
1.929167,-0.4833333,-1.204167
2.0125,-1.441667,-0.6875
1.504167,-1.929167,0.15
1.020833,-1.979167,0.8041667
0.5125,-1.8875,1.741667
-0.175,-1.3375,2.0
-0.8916667,-0.8958333,1.991667
-1.754167,-0.3,1.841667
-1.929167,0.375,1.316667
-1.925,1.2375,0.8041667
-1.645833,1.891667,-0.004166667
-1.129167,1.916667,-0.6333333
-0.6583333,1.8625,-1.541667
0.02083333,1.4375,-1.941667
0.6166667,1.045833,-1.958333
1.55,0.6208333,-1.9375
1.8875,-0.1291667,-1.445833
1.941667,-0.9083333,-1.041667
1.954167,-1.7875,-0.425
1.320833,-1.970833,0.4291667
0.8625,-1.979167,1.241667
0.2458333,-1.733333,1.908333
-0.4208333,-1.208333,2.029167
-1.254167,-0.7541667,2.016667
-1.8375,-0.01666667,1.679167
-1.933333,0.6041667,1.191667
-2.0,1.4875,0.6125
-1.466667,1.891667,-0.2416667
-0.9958333,1.9,-0.8291667
-0.4833333,1.833333,-1.708333
0.1208333,1.3125,-1.925
0.8166667,0.925,-1.9375
1.675,0.4666667,-1.820833
1.875,-0.1958333,-1.329167
1.941667,-1.158333,-0.8958333
1.7125,-1.8625,-0.1875
1.183333,-1.9625,0.5291667
0.7333333,-1.929167,1.5375
0.05416667,-1.495833,1.945833
-0.6291667,-1.083333,1.991667
-1.545833,-0.5958333,1.954167
-1.854167,0.2041667,1.479167
-1.891667,0.9416667,1.029167
-1.8875,1.766667,0.3166667
-1.279167,1.891667,-0.525
-0.8125,1.8625,-1.241667
-0.175,1.666667,-1.858333
0.4291667,1.183333,-1.954167
1.241667,0.75,-1.975
1.816667,0.07916667,-1.625
1.9375,-0.5416667,-1.179167
2.008333,-1.529167,-0.6583333
1.479167,-1.966667,0.1958333
1.016667,-1.983333,0.85
0.5291667,-1.8875,1.829167
-0.1958333,-1.341667,2.025
-0.9541667,-0.9333333,2.008333
-1.795833,-0.3583333,1.858333
-1.9,0.3666667,1.341667
-1.933333,1.2875,0.8458333
-1.683333,1.891667,0.06666667
-1.15,1.908333,-0.6416667
-0.6875,1.8625,-1.533333
-0.02083333,1.475,-1.875
0.575,1.070833,-1.920833
1.441667,0.6458333,-1.933333
1.8,-0.04166667,-1.475
1.904167,-0.7833333,-1.029167
1.941667,-1.675,-0.4541667
1.333333,-1.945833,0.325
0.8875,-1.945833,1.120833
0.3208333,-1.725,1.870833
-0.325,-1.220833,2.016667
-1.233333,-0.775,2.033333
-1.870833,-0.075,1.6625
-1.933333,0.5708333,1.179167
-1.966667,1.579167,0.6208333
-1.429167,1.9375,-0.2625
-0.975,1.891667,-0.9208333
-0.4583333,1.7875,-1.820833
0.2375,1.283333,-1.95
0.9833333,0.9083333,-1.9
1.7625,0.4,-1.804167
1.870833,-0.3458333,-1.295833
1.929167,-1.279167,-0.8666667
1.691667,-1.891667,-0.09583333
1.170833,-1.9625,0.6375
0.7083333,-1.958333,1.5625
0.025,-1.525,1.975
-0.6583333,-1.075,2.0125
-1.570833,-0.5666667,2.0125
-1.8875,0.2041667,1.491667
-1.945833,0.9083333,1.020833
-1.933333,1.758333,0.3333333
-1.2875,1.945833,-0.4166667
-0.8166667,1.895833,-1.179167
-0.2416667,1.65,-1.883333
0.3041667,1.170833,-1.966667
1.208333,0.7625,-1.95
1.795833,0.1916667,-1.608333
1.8875,-0.4291667,-1.179167
1.9625,-1.4875,-0.7083333
1.458333,-1.891667,0.07083333
1.029167,-1.916667,0.8125
0.5916667,-1.875,1.783333
-0.1125,-1.345833,1.983333
-0.9375,-0.9375,1.983333
-1.766667,-0.3916667,1.875
-1.895833,0.3875,1.341667
-1.945833,1.304167,0.8416667
-1.683333,1.883333,-0.0125
-1.129167,1.9375,-0.7083333
-0.6333333,1.895833,-1.575
0.075,1.454167,-1.925
0.6583333,1.020833,-1.9625
1.520833,0.5333333,-1.929167
1.879167,-0.15,-1.425
1.9375,-0.8375,-1.004167
1.9,-1.779167,-0.3625
1.3,-1.983333,0.3583333
0.8458333,-1.954167,1.216667
0.2833333,-1.704167,1.966667
-0.3375,-1.204167,2.05
-1.316667,-0.75,2.025
-1.9,-0.08333333,1.6375
-1.945833,0.5875,1.1875
-1.991667,1.6125,0.6333333
-1.433333,1.925,-0.2625
-0.9708333,1.891667,-0.9458333
-0.4666667,1.833333,-1.795833
0.2291667,1.3,-1.933333
0.9083333,0.8916667,-1.929167
1.670833,0.3791667,-1.825
1.85,-0.275,-1.304167
1.954167,-1.1125,-0.8333333
1.708333,-1.804167,-0.1125
1.1625,-1.945833,0.4916667
0.7125,-1.970833,1.4375
0.06666667,-1.5125,1.941667
-0.5291667,-1.083333,2.033333
-1.55,-0.5791667,2.020833
-1.925,0.1458333,1.470833
-1.970833,0.8625,1.025
-1.904167,1.816667,0.3375
-1.254167,1.9625,-0.4333333
-0.7875,1.9,-1.270833
-0.175,1.625,-1.9375
0.4125,1.145833,-1.983333
1.3375,0.725,-1.933333
1.833333,0.06666667,-1.566667
1.879167,-0.5958333,-1.133333
1.970833,-1.55,-0.625
1.429167,-1.9,0.2416667
0.9833333,-1.941667,0.9
0.4708333,-1.9125,1.770833
-0.225,-1.345833,1.991667
-0.9583333,-0.9083333,2.029167
-1.741667,-0.2916667,1.933333
-1.945833,0.4125,1.35
-2.029167,1.245833,0.7958333
-1.7125,1.883333,-0.04583333
-1.116667,1.970833,-0.6625
-0.6166667,1.9375,-1.545833
0.075,1.441667,-1.945833
0.5875,1.008333,-1.979167
1.508333,0.55,-1.925
1.833333,-0.1,-1.395833
1.8875,-0.7916667,-0.9875
1.875,-1.704167,-0.4
1.3,-1.895833,0.3083333
0.8708333,-1.895833,1.1625
0.35,-1.7125,1.854167
-0.3083333,-1.229167,1.979167
-1.275,-0.7791667,2.020833
-1.833333,-0.07916667,1.691667
-1.9375,0.625,1.208333
-2.0125,1.583333,0.6208333
-1.466667,1.9,-0.3166667
-0.9541667,1.916667,-0.9791667
-0.3791667,1.854167,-1.770833
0.3291667,1.270833,-1.945833
0.9708333,0.8541667,-1.958333
1.720833,0.2333333,-1.8125
1.8875,-0.3875,-1.258333
1.954167,-1.2,-0.7875
1.658333,-1.8625,0.0125
1.125,-1.958333,0.5958333
0.6625,-1.941667,1.55
-0.01666667,-1.4875,1.966667
-0.6333333,-1.054167,2.016667
-1.620833,-0.5666667,2.0
-1.916667,0.2,1.466667
-1.945833,0.9791667,1.020833
-1.908333,1.85,0.3375
-1.291667,1.945833,-0.5083333
-0.8,1.8875,-1.35
-0.175,1.6625,-1.908333
0.4791667,1.175,-1.95
1.304167,0.7208333,-1.945833
1.770833,0.05,-1.604167
1.85,-0.5875,-1.145833
1.9625,-1.45,-0.6125
1.45,-1.804167,0.2
1.0,-1.8875,0.8041667
0.5,-1.870833,1.675
-0.1291667,-1.354167,1.941667
-0.8583333,-0.925,2.0125
-1.729167,-0.35,1.895833
-1.916667,0.3208333,1.35
-1.983333,1.241667,0.8291667
-1.683333,1.925,0.0125
-1.133333,1.958333,-0.6458333
-0.625,1.891667,-1.6375
0.09166667,1.425,-1.983333
0.7166667,1.008333,-1.9375
1.654167,0.5208333,-1.8625
1.8375,-0.2291667,-1.366667
1.841667,-0.975,-0.9666667
1.841667,-1.791667,-0.3416667
1.2625,-1.870833,0.475
0.8333333,-1.879167,1.2875
0.2208333,-1.679167,1.883333
-0.4583333,-1.2,1.983333
-1.329167,-0.7541667,2.029167
-1.854167,-0.01666667,1.7
-1.941667,0.65,1.1875
-2.033333,1.604167,0.5791667
-1.4625,1.945833,-0.3208333
-0.9666667,1.9375,-0.9583333
-0.4041667,1.845833,-1.833333
0.275,1.283333,-1.995833
0.9833333,0.8583333,-1.95
1.7875,0.3083333,-1.758333
1.866667,-0.3291667,-1.258333
1.895833,-1.241667,-0.8125
1.604167,-1.858333,-0.07083333
1.141667,-1.870833,0.5541667
0.7291667,-1.8625,1.533333
0.07083333,-1.458333,1.895833
-0.5791667,-1.070833,1.95
-1.566667,-0.6333333,1.966667
-1.858333,0.1375,1.483333
-1.895833,0.9458333,1.033333
-1.9125,1.808333,0.3916667
-1.270833,1.925,-0.4833333
-0.8083333,1.891667,-1.3125
-0.1666667,1.65,-1.9125
0.4958333,1.170833,-1.983333
1.3375,0.7041667,-1.945833
1.85,-0.02083333,-1.579167
1.9,-0.65,-1.120833
1.933333,-1.575,-0.5625
1.391667,-1.920833,0.275
0.9625,-1.908333,0.8958333
0.4541667,-1.816667,1.820833
-0.2041667,-1.3,1.995833
-0.9833333,-0.8916667,1.995833
-1.829167,-0.3208333,1.829167
-1.9625,0.3833333,1.3125
-1.970833,1.3625,0.8291667
-1.658333,1.983333,-0.004166667
-1.133333,1.9625,-0.7041667
-0.65,1.883333,-1.666667
0.0875,1.416667,-1.979167
0.7375,1.0125,-1.958333
1.6375,0.5291667,-1.891667
1.854167,-0.2166667,-1.379167
1.870833,-0.9416667,-0.9791667
1.833333,-1.7375,-0.3333333
1.258333,-1.891667,0.3958333
0.8333333,-1.866667,1.166667
0.2791667,-1.65,1.833333
-0.2958333,-1.195833,1.975
-1.208333,-0.775,2.0125
-1.854167,-0.1041667,1.645833
-1.970833,0.5333333,1.1875
-2.008333,1.575,0.6625
-1.445833,1.983333,-0.2125
-0.975,1.933333,-0.9333333
-0.4458333,1.791667,-1.883333
0.2541667,1.270833,-2.025
1.05,0.8583333,-1.941667
1.858333,0.2958333,-1.720833
1.904167,-0.425,-1.245833
1.879167,-1.345833,-0.775
1.558333,-1.908333,0.025
1.095833,-1.891667,0.6916667
0.65,-1.858333,1.583333
-0.04166667,-1.429167,1.929167
-0.675,-1.041667,1.975
-1.5875,-0.5416667,1.970833
-1.916667,0.2166667,1.466667
-1.979167,0.9625,1.004167
-1.933333,1.845833,0.3
-1.2875,2.016667,-0.4833333
-0.7958333,1.9625,-1.2875
-0.1291667,1.641667,-1.954167
0.45,1.154167,-2.041667
1.3375,0.6875,-1.9875
1.895833,-0.004166667,-1.558333
1.933333,-0.6,-1.116667
1.916667,-1.5875,-0.575
1.375,-1.904167,0.225
0.9666667,-1.8625,0.8625
0.5208333,-1.766667,1.741667
-0.125,-1.291667,1.920833
-0.9083333,-0.9083333,1.954167
-1.725,-0.3916667,1.841667
-1.891667,0.3041667,1.341667
-1.9875,1.258333,0.8541667
-1.6875,1.879167,0.0625
-1.154167,1.970833,-0.6666667
-0.65,1.929167,-1.579167
0.08333333,1.45,-1.958333
0.725,1.025,-1.9875
1.6125,0.4916667,-1.920833
1.895833,-0.2583333,-1.395833
1.904167,-0.9583333,-0.9416667
1.816667,-1.795833,-0.2166667
1.2125,-1.933333,0.4666667
0.7666667,-1.891667,1.258333
0.1541667,-1.591667,1.891667
-0.4041667,-1.154167,1.991667
-1.3125,-0.7166667,1.9875
-1.870833,-0.01666667,1.6
-1.954167,0.6333333,1.175
-2.020833,1.641667,0.6125
-1.441667,1.970833,-0.2791667
-0.9791667,1.9625,-1.0
-0.45,1.845833,-1.870833
